번호                                                                                                                                       (01.6월 기준),주소
329,서울특별시 중구 을지로 을지로3가 버스정류장 0-160
330,서울특별시 중구 을지로 을지로3가 버스정류장 0-160
331,서울특별시 중구 장충단로 동대문역사공원역 8번출구버스정류장 앞 0-170
332,서울특별시 중구 장충단로 동대문역사공원역 8번출구버스정류장 앞 0-170
333,서울특별시 중구 을지로 을지로 46 공항버스 정류장
334,서울특별시 중구 을지로 을지로 46 공항버스 정류장
335,서울특별시 중구 동호로 라마다 호텔 앞 버스정류장 0-168
336,서울특별시 중구 동호로 라마다 호텔 앞 버스정류장 0-168
337,"서울특별시 중구 동호로 방산시장,훈련원종합체육관 버스정류장 0-167"
338,"서울특별시 중구 동호로 방산시장,훈련원종합체육관 버스정류장 0-167"
339,서울특별시 중구 을지로 동대문역사공원역 1번출구 건너편 버스정류장(0-35)
340,서울특별시 중구 을지로 동대문역사공원역 1번출구 건너편 버스정류장(0-35)
341,서울특별시 중구 장충단로 동대문역사문화공원 버스정류장(0-174)
342,서울특별시 중구 장충단로 동대문역사문화공원 버스정류장(0-174)
343,서울특별시 중구 퇴계로 광희문 버스정류장 (0-75)
344,서울특별시 중구 퇴계로 광희문 버스정류장 (0-75)
345,"서울특별시 중구 퇴계로 광희문, 광희동사거리 버스정류장(0-74)"
346,"서울특별시 중구 퇴계로 광희문, 광희동사거리 버스정류장(0-74)"
347,서울특별시 중구 장충단로 광희문 버스정류장(0-171)
348,서울특별시 중구 장충단로 광희문 버스정류장(0-171)
349,서울특별시 중구 퇴계로 충무아트센터 버스정류장 0-177
350,서울특별시 중구 퇴계로 충무아트센터 버스정류장 0-177
351,서울특별시 중구 퇴계로 중부소방서 버스정류장 0-178
352,서울특별시 중구 퇴계로 중부소방서 버스정류장 0-178
353,서울특별시 중구 다산로 신당동 떡복이타운 버스정류장 0-188 (피쉬고고)
354,서울특별시 중구 다산로 신당동 떡복이타운 버스정류장 0-188 (피쉬고고)
355,서울특별시 중구 퇴계로 신당역하나은행 마을버스정류장 0-510
356,서울특별시 중구 퇴계로 신당역하나은행 마을버스정류장 0-510
357,서울특별시 중구 다산로 송도병원앞 버스정류장(0-197)
358,서울특별시 중구 다산로 송도병원앞 버스정류장(0-197)
359,서울특별시 중구 다산로 송도병원 건너편 버스정류장(0-198)
360,서울특별시 중구 다산로 송도병원 건너편 버스정류장(0-198)
361,서울특별시 중구 다산로 버티고개남산타운입구 버스정류장(0-37)
362,서울특별시 중구 다산로 버티고개남산타운입구 버스정류장(0-37)
363,서울특별시 중구 퇴계로 중앙시장 정문 건너편 버스정류장(0-18)
364,서울특별시 중구 퇴계로 중앙시장 정문 건너편 버스정류장(0-18)
365,서울특별시 중구 다산로 신당동.청구역 버스정류장(0-190)
366,서울특별시 중구 다산로 신당동.청구역 버스정류장(0-190)
367,서울특별시 중구 다산로 신당동.청구역 버스정류장(0-189)
368,서울특별시 중구 다산로 신당동.청구역 버스정류장(0-189)
369,서울특별시 중구 청계천로 황학동롯데캐슬 버스정류장(0-73)
370,서울특별시 중구 청계천로 황학동롯데캐슬 버스정류장(0-73)
371,서울특별시 중구 난계로 황학동주민센터 버스정류장 0-57
372,서울특별시 중구 난계로 황학동주민센터 버스정류장 0-57
373,서울특별시 중구 퇴계로 신당파인힐하나유보라 버스정류장(0-5)
374,서울특별시 중구 퇴계로 신당파인힐하나유보라 버스정류장(0-5)
375,서울특별시 중구 퇴계로 성동고등학교 버스정류장(0-183)
376,서울특별시 중구 퇴계로 성동고등학교 버스정류장(0-183)
377,서울특별시 중구 퇴계로 성동고등학교 앞 버스정류장 0-180
378,서울특별시 중구 퇴계로 성동고등학교 앞 버스정류장 0-180
379,서울특별시 중구 청계천로 청계8가.영도교 버스정류장(0-30)
380,서울특별시 중구 청계천로 청계8가.영도교 버스정류장(0-30)
381,서울특별시 중구 다산로 약수역번출구 버스정류장 0-191
382,서울특별시 중구 다산로 약수역번출구 버스정류장 0-191
383,서울특별시 중구 다산로 약수역 7번출구 버스정류장 0-196
384,서울특별시 중구 다산로 약수역 7번출구 버스정류장 0-196
385,서울특별시 중구 다산로 약수역8번출구 버스정류장 0-195
386,서울특별시 중구 다산로 약수역8번출구 버스정류장 0-195
387,서울특별시 용산구 원효로 강변삼성아파트앞 횡단보도 버스정류장(03-99)  
388,서울특별시 용산구 원효로 원효로4가 현대자동차써비스(원효로3가방면) 버스정류장(03-301)
389,서울특별시 용산구 원효로 목월공원 앞
390,서울특별시 용산구 원효로 원효로 3가 시범아파트 버스정류장(03-146)
391,서울특별시 용산구 원효로 원효로1가 45  (유닉스빌딩앞 버스정류장(03-140)
392,서울특별시 용산구 원효로 원효로 3가 우리 이비인후과 앞(원효아파트앞횡단보도)
393,서울특별시 용산구 원효로 원효로 가 사거리 열린동물병원앞
394,서울특별시 용산구 원효로 (구)용산구청앞 사거리 (우리은행) 횡단보도
395,서울특별시 용산구 원효로 용산경찰서 입구(GS5 편의점앞)
396,서울특별시 용산구 원효로 선린인터넷고등학교 입구( CU편의점앞 )
397,서울특별시 용산구 원효로 (구)용산구청 보건분소앞 사거리(해오름공인중개사)
398,서울특별시 용산구 청파로 소화아동병원앞(택시정류장)
399,서울특별시 용산구 청파로 청파동(서계동방면) 버스정류장(03-16)
400,"서울특별시 용산구 청파로 숙대입구역,청파동주민센터(세운할인마트앞)버스정류장(13-19)"
401,서울특별시 용산구 청파로 숙대입구역• 청파동주민센터버스정류장(03-18)
402,서울특별시 용산구 후암로 갈월동종합사회복지관 택시정류장
403,서울특별시 용산구 후암로 용산고등학교 앞 사거리( 구두 수선앞)
404,서울특별시 용산구 후암로 스마일치과의원 건너편 버스정류장(03-03)
405,서울특별시 용산구 후암로 SC제일은행앞 버스정류장(03-01)
406,서울특별시 용산구 후암로 후암시장(삼강의원방면) 버스정류장(03-00)
407,서울특별시 용산구 후암로 후암삼거리 버스정류장(03-199) 클라라 잡화
408,서울특별시 용산구 후암로 진흥빌딩 앞 마을버스정류장
409,서울특별시 용산구 후암로 진흥빌딩 건너편 그랜드아파트 횡단보도앞
